# name, date-of-birth, customer-since, country, subscribe-newsletter, membership-number
Jillian Clark,2001-04-27,2018-01-25,Cuba,0,30491559809624
Anna Washington,1984-01-27,2014-08-17,Northern Mariana Islands,1,4767989531467453
Lindsey Stewart,2009-12-05,2019-08-21,New Caledonia,0,6011638208729120
Mark Ray,2015-04-10,2018-11-17,Kenya,1,6011566680863895
Christy Pratt,1973-08-07,2021-05-25,Nigeria,1,578319463480
Kathy Scott, 1976-06-25,1989-06-01,Afghanistan,1,4318356071517804
Robin Roberson,1962-03-25,2011-07-24,Jordan,1,213127275551020
Tina Hutchinson,1986-11-06,2017-08-16,Gibraltar,0,6596105481953127
Robert Sanders,1975-02-08,2020-01-02,Trinidad and Tobago,1,4525234424466129
Lisa Kidd,1985-01-26,2007-03-21,Saint Lucia,0,676233552030
Elizabeth Yu,1972-05-25,1981-12-25,Angola,1,2718077801929966
Lauren Green,1973-02-27,1991-12-19,Monaco,1,3576574955600228
Joseph Bates,1983-11-16,1992-10-19,Malaysia,1,4265229486663328
Jeremy Wade,1980-05-16,2021-04-05,Argentina,0,3532582337158883
Daniel Daniels,1991-09-27,2010-10-25,Lebanon,0,4017841651241598
David Stone,2019-12-30,2021-12-10,Pitcairn Islands,0,6011484146735337
Derek Flores,2010-11-27,2015-01-18,Czech Republic,0,4383032317658042177
Jeffrey Johnson,1968-07-24,1984-09-27,Armenia,0,6011706630468227
Linda Henderson,1978-06-02,1987-12-18,Niue,0,2259966241685409
Nicole Williams,1992-08-21,2017-02-03,Falkland Islands (Malvinas),1,6593824936549164
Barry Norton,1986-08-27,1999-10-18,Cocos (Keeling) Islands,1,4992787883543559
Sarah Paul,2018-03-04,2020-08-25,Uruguay,0,6011845343555605
Kenneth Underwood,1986-07-22,2002-03-26,Myanmar,1,3577844408570628
Ruben Watts,1990-03-31,2007-09-22,Pakistan,0,566789400165
Kathy Thomas,1975-12-14,2011-01-26,Malaysia,0,3589260190246374
Cynthia Carpenter,2016-01-16,2020-05-12,Kuwait,0,372703128062394
Cristian Williams,2019-12-22,2021-09-21,Nigeria,1,5388433113918852
Bradley Gibson,1991-12-31, 1998-08-29,Samoa,0,501890118927
Anna Wheeler,1996-06-28,2000-07-31,Belize,1,4129691753860
Priscilla Torres,1996-04-20,2002-09-06,Kuwait,1,4423493222366617
Donald Williams,2006-10-29,2012-04-26,Paraguay,0,343251192215031
Peter Martinez,1965-08-11,2006-05-09,Netherlands,1,6011394000786195
Latoya Garcia,1994-11-07,2016-10-21,Iran,0,340317045194575
Michael Hall,1989-12-03,1990-10-08,Luxembourg,1,30203057618930
Joseph Cordova,1987-03-07,1992-02-14,Bulgaria,0,4497521558993
Jeffrey Young,1991-05-24,2019-07-19,Burundi,0,4010522381573172
Dawn Cruz,1967-04-27,1970-07-26,Jamaica,1,3556838744550299
Charles Jones,1976-04-22,1980-03-11,Brazil,0,4075369467716507508
Manuel Ramirez,2001-02-04,2004-01-04,Togo,1,3518927625999696
Jamie Johnson,2014-10-04,2016-12-06,Seychelles,0,3522631654931257
Michael Armstrong,2009-08-22,2014-10-28,Egypt,1,370932328163304
Whitney Mendoza,1998-01-17,2000-11-15,Lesotho,0,4223420893507537052
Thomas Peterson,1981-08-11,2020-09-06,Eritrea,1,4145921272999967
Alexis Bell,1998-03-26,2005-05-08,Martinique,0,213168182961795
Amanda Holt,2006-11-14,2021-04-11,Angola,0,4286162157643599
Jonathan Bates,1981-04-25,1987-02-12,Armenia,0,30442613269792
Jose Mills,2013-11-11,2020-10-01,Tunisia,0,4666534365493
Robert Gray,2001-02-03, 2019-12-19,United Kingdom,1,3593344420581083
Nicole Wilson,2011-10-17,2016-09-26,Cambodia,1,3565365878409141
Daniel Good,2014-11-03,2020-11-30,Fiji,1,3567567160700636
Lisa Parsons,1963-04-26,2017-08-12,United States Virgin Islands,0,3582648942113982
Jose Smith,2001-08-31,2001-11-15,United Kingdom,0,4481762450490
Mark Andrade,1978-11-28,2017-08-10,Nigeria,0,3531334201211922
Anthony Gould,1967-02-26,1980-04-12,Brazil,1,4275844947375682776
Danielle Rogers, 1987-10-31,2001-04-28,United Kingdom,0,4595860105276489
Shelley Soto,1971-10-22,1979-04-08,Falkland Islands (Malvinas),1,4978544198191014
Lori Townsend,1972-07-21,2018-01-03,Poland,1,3565168171383744
Misty Arnold,1989-09-21,1998-03-13,Croatia,1,4241829193739666079
Matthew Wood,1975-02-27,1986-04-20,Jersey,0,3517804554585781
Phillip Fernandez,1985-12-13,2014-02-26,Syrian Arab Republic,0,501831826612
Taylor Robinson,1992-06-09,2021-04-05,Saint Helena,0,4902668470282
Steven Perez DDS,1963-09-10,1964-11-10,Bahrain,1,4023265891521
Rebecca Figueroa,1998-01-25,2008-07-31,Liberia,0,3519330312070187
Melissa Mitchell,1966-07-22,1982-06-11,Eritrea,1,3534707010592128
Mark Wilson,1962-10-01, 2010-09-18,Australia,0,6011518447270682
Dr. Gregory Williams,2009-10-13,2021-08-08,Kenya,0,343913774103196
Austin Spencer,2005-04-15,2011-09-25,Saint Pierre and Miquelon,1,180047220279346
Michelle Wilkerson,1984-08-11,2000-10-22,Fiji,1,4705625241217151
Kaylee Duncan,2021-07-14,2021-08-17,Ecuador,0,4279975557459558
Adam Williams,1987-10-07,2020-10-28,Angola,1,4266402609088
Colin Burgess,1986-08-25,2021-07-23,Netherlands,0,4192712017558
Blake Fischer,1981-11-26,1991-08-07,Guam,1,501847115216
Mark Mcdonald DDS,2008-11-21,2010-05-04,Malawi,0,38056889168967
Sarah Benjamin,2001-07-19,2019-03-16,Macedonia,1,586621134061
Eric Brown,2005-04-23,2019-12-05,Panama,0,4725352143458488723
Travis Griffith,1966-09-19,1972-06-03,Switzerland,0,213149249212349
Kelly Wiggins,1965-03-15,1970-11-29,Samoa,1,213128530008384
Caitlin Thomas,1982-04-06,2002-04-18,Djibouti,1,6530766997944279
Shannon Braun, 1985-08-24,2012-10-11,Saint Vincent and the Grenadines,0,4865873052949100
Chad Williams,1996-04-04,2014-12-12,Malawi,0,4029834807955
Joseph Romero,1985-04-30,2003-09-11,Sweden,0,180057542582210
Jeffrey Weber,1967-01-07,2000-09-29,Bouvet Island (Bouvetoya),0,348044778942721
Rebecca Miller,1964-06-25,1975-11-21,Lebanon,0,3547858866107969
Donald Henderson,1986-07-31, 2018-04-07,Ireland,0,3589188784297844
Dr. Steven Johnson DDS,1999-05-23,2002-04-27,Belize,1,349023237803418
John Hunter,2012-05-03,2015-02-07,Greece,1,503865049178
Luis Johnson,2000-11-02,2016-07-25,Marshall Islands,1,4407328219390057
Courtney Hendricks,1973-02-12,1973-05-28,Saint Pierre and Miquelon,0,3568478418393332
Ariel Leblanc,1973-04-30,2020-06-20,Togo,1,6011792766804666
Dr. Stephen Johnston,2012-02-21,2019-01-22,Turkey,0,4702802723455335
Jeffrey Norris,2021-01-07,2021-08-03,Turks and Caicos Islands,1,349421158122703
Julie Ortega,1988-08-10,1993-06-17,Peru,0,4472675612422196
Austin Williams,1963-06-16,2005-10-08,Maldives,0,502097074798
Mary Guzman,2009-07-15,2020-11-14,Poland,1,4019183073816563110
Brittany Garcia DVM,1997-03-14,2001-02-04,Spain,1,6011161869649610
Jason Rivas,1973-08-22,1983-05-06,Poland,0,4449517874847571
Eileen Holmes DVM,1970-11-30,2013-07-25,Turks and Caicos Islands,0,3566608288715790
Patrick Brown,2017-05-01,2020-09-08,Turkmenistan,0,5197885483939381
Cody Campbell,1997-11-25,2007-04-15,Aruba,1,213185287867420
Tammy Murray,1962-10-31,1996-12-18,Faroe Islands,1,30214494452544
Michael Armstrong,1977-06-09,1998-02-21,United States of America,1,2549518919779756
Amy Bauer,2007-04-14,2020-05-08,Netherlands Antilles,1,213107125772166
Kevin Walter,2011-08-27,2015-07-23,Chile,0,3568338632900512
Mitchell Stanley,2014-10-27,2019-08-16,Monaco,1,4054116311413786
John Jones,2002-05-20,2003-06-05,Kiribati,0,4245892841857680
Joseph Mccoy,1992-12-15,2010-06-25,Zambia,1,5220323053573209
Elaine Clements,2007-04-13,2021-03-25,Fiji,1,3532034847439429
Maria Foster,1984-02-17,1987-11-29,Iceland,0,3538504864870569
Susan Mcdonald,2004-07-21,2020-10-23,Iceland,1,348732658565311
Curtis Watson,2005-12-05,2017-07-03,Saint Kitts and Nevis,0,503811224172
Jacqueline Bailey,1969-10-06,1980-09-08,Papua New Guinea,1,347201636867463
Donald Ramirez,2000-06-13,2004-04-17,Yemen,0,3581772457627102
Dorothy Rodriguez,2011-05-05,2021-12-10,Nauru,0,36282511887756
Tanya Harris,1977-07-12,2020-10-31,Tokelau,1,38385009824062
Samantha Richardson,2017-06-22,2021-09-06,Benin,0,3579228238737565
Natalie Ewing,2020-09-09,2021-04-27,Armenia,0,4330161260277096626
Francisco Stewart,1977-08-30,2005-12-25,Hong Kong,1,30529872249299
Emily Jones,1972-08-05,2015-11-24,Mayotte,1,4740945477970159
Holly Anderson,2005-04-03,2018-05-03,Kenya,1,4188327556135625
Nicole Nunez,1996-06-09,2016-10-19,Hong Kong,0,36325981833188
Paul Mcintyre,2021-12-12,2022-01-05,Oman,0,4098908858844219
Vicki Houston,1974-01-21,1978-06-03,Afghanistan,1,4503722366506
Ashley Cameron,2001-01-29,2014-03-05,Falkland Islands (Malvinas),0,2265166993291900
Dustin Best,1963-09-10,1966-01-11,Nicaragua,1,5272741444449267
Christopher Fitzpatrick,1996-08-08,2020-07-25,Guam,1,349866448563654
Brett Fisher,1985-02-01,2002-07-11,Turks and Caicos Islands,0,3565531193556391
